,palavra,ocorrencias
0,brasil,19
1,@jairbolsonaro,14
2,rj,10
3,deus,7
4,bolsonaro,6
5,pai,6
6,todos,6
7,presidência,6
8,sempre,6
9,psl,6
10,agora,6
11,#obrasilvota17,6
12,rio,5
13,sentimentos,5
14,voto,5
15,presidente,5
16,ser,5
17,governo,5
18,cada,5
19,bancada,4
20,passo,4
21,família,4
22,parabéns,4
23,entrevista,4
24,hoje,4
25,vai,4
26,importante,3
27,dia,3
28,ajudar,3
29,após,3
30,melhor,3
31,senado,3
32,sobre,3
33,faz,3
34,grande,3
35,alerj,3
36,vamos,3
37,menos,3
38,política,3
39,abençoe,3
40,2019,3
41,nada,3
42,nunca,3
43,vida,3
44,rt,3
45,unidos,3
46,brasileiros,3
47,desde,3
48,corrupção,3
49,anos,3
50,@bolsonarosp,3
51,@carlosbolsonaro,3
52,psol,3
53,tsunami,3
54,janeiro,2
55,segue,2
56,estado,2
57,trabalho,2
58,bilhões,2
59,reais,2
60,dá,2
61,chamado,2
62,agradeço,2
63,falei,2
64,pouco,2
65,disposição,2
66,famílias,2
67,obrigado,2
68,todo,2
69,abrir,2
70,ninguém,2
71,novo,2
72,federal,2
73,@davialcolumbre,2
74,votações,2
75,fraude,2
76,evitar,2
77,especulações,2
78,chefe,2
79,poder,2
80,nota,2
81,imprensa,2
82,bom,2
83,jornalismo,2
84,parte,2
85,nome,2
86,verdade,2
87,desse,2
88,@pmerj,2
89,reunião,2
90,cabeça,2
91,pm,2
92,direitos_humanos,2
93,então,2
94,honra,2
95,lado,2
96,momento,2
97,posso,2
98,ex-assessor,2
99,história,2
