,counts,%
@BolsonaroSP:,139,17.24565756823821
@jairbolsonaro:,100,12.40694789081886
@CarlosBolsonaro:,58,7.196029776674938
@RenovaMidia:,51,6.327543424317618
@odiodobem:,14,1.7369727047146404
@filgmartin:,13,1.6129032258064515
@alexandregarcia:,12,1.488833746898263
@ernestofaraujo:,12,1.488833746898263
@ricardovelez:,11,1.3647642679900744
@conexaopolitica:,10,1.240694789081886
@DireitaBrasil:,10,1.240694789081886
@EDUARDO_BITTAR:,10,1.240694789081886
@leandroruschel:,10,1.240694789081886
@BlogDoPim:,10,1.240694789081886
@DaniloGentili:,9,1.1166253101736971
@Rumbo_Libertad:,8,0.9925558312655087
@pauloap:,7,0.8684863523573202
@lsentoes:,7,0.8684863523573202
@roxmo:,7,0.8684863523573202
@AmbJohnBolton:,7,0.8684863523573202
@estadohir4mico:,6,0.7444168734491315
@o_colecionador:,6,0.7444168734491315
@luciano_hang:,6,0.7444168734491315
@lcoutinho:,6,0.7444168734491315
@augustosnunes:,6,0.7444168734491315
@PauloMartins10:,6,0.7444168734491315
@planalto:,5,0.620347394540943
@benebarbosa_mvb:,5,0.620347394540943
@RoderickNavarro:,5,0.620347394540943
@Clauwild1:,5,0.620347394540943
@IDF:,5,0.620347394540943
@Almagro_OEA2015:,5,0.620347394540943
@WHAAsstSecty:,4,0.49627791563275436
@apoliticadefato:,4,0.49627791563275436
@realDonaldTrump:,4,0.49627791563275436
@manuelkobel:,4,0.49627791563275436
@xicograziano:,4,0.49627791563275436
@WalidPhares:,4,0.49627791563275436
@marmilbr:,4,0.49627791563275436
@Horadelaverdad:,4,0.49627791563275436
@FlavioBolsonaro:,4,0.49627791563275436
@mjcosta_:,4,0.49627791563275436
@netanyahu:,4,0.49627791563275436
@flaviomorgen:,3,0.37220843672456577
@Smith_Hays:,3,0.37220843672456577
@Gen_VillasBoas:,3,0.37220843672456577
@marcorubio:,3,0.37220843672456577
@DamaresAlves:,3,0.37220843672456577
@tarcisiogdf:,3,0.37220843672456577
@Bopressor20:,3,0.37220843672456577
@JanainaDoBrasil:,3,0.37220843672456577
@GeneralGirao:,3,0.37220843672456577
@CarlaZambelli17:,3,0.37220843672456577
@DecioNeves:,2,0.24813895781637718
@allantercalivre:,2,0.24813895781637718
@sensoinc:,2,0.24813895781637718
@henriolliveira:,2,0.24813895781637718
@geraldomiotto:,2,0.24813895781637718
@Fabricio_Rebelo:,2,0.24813895781637718
@carteiroreaca:,2,0.24813895781637718
@jguaido:,2,0.24813895781637718
@odiodobem2:,2,0.24813895781637718
@MaritoAbdo:,2,0.24813895781637718
@Brigadeiromma:,2,0.24813895781637718
@moura_101:,2,0.24813895781637718
@conservadordc:,2,0.24813895781637718
@paulacamara_:,2,0.24813895781637718
@silvioluiz:,2,0.24813895781637718
@ludmilagrilo:,2,0.24813895781637718
@IvanDuque:,2,0.24813895781637718
@OlavoOpressor:,2,0.24813895781637718
@alefrotabrasil:,2,0.24813895781637718
@JoelAlexandreM:,2,0.24813895781637718
@joseantoniokast:,2,0.24813895781637718
@aguedescartoon:,2,0.24813895781637718
@mauriciomacri:,2,0.24813895781637718
@SenRubioPress:,2,0.24813895781637718
@Desesquerdizada:,2,0.24813895781637718
@BolsonaroSub:,2,0.24813895781637718
@AnaPaulaVolei:,2,0.24813895781637718
@maibortpetit:,1,0.12406947890818859
@angelaBrenner10:,1,0.12406947890818859
@VP:,1,0.12406947890818859
@samuelxsantos:,1,0.12406947890818859
@Observa67466812:,1,0.12406947890818859
@Astro_Pontes:,1,0.12406947890818859
@dmbetim:,1,0.12406947890818859
@Trozz11:,1,0.12406947890818859
@reaconaria:,1,0.12406947890818859
@RHPozzobon:,1,0.12406947890818859
@Conceio85453665:,1,0.12406947890818859
@carlosjordy:,1,0.12406947890818859
@ricardoleao022:,1,0.12406947890818859
@RoseDBarros:,1,0.12406947890818859
@StateDept:,1,0.12406947890818859
@robdesenho:,1,0.12406947890818859
@Avantika_23:,1,0.12406947890818859
@DaniPellegrinno:,1,0.12406947890818859
@jrguzzofatos:,1,0.12406947890818859
@_Lya_:,1,0.12406947890818859
@dw_brasil:,1,0.12406947890818859
@fairplaywomen:,1,0.12406947890818859
@Jouberth19:,1,0.12406947890818859
@IvankaTrump:,1,0.12406947890818859
@ToysandTravels:,1,0.12406947890818859
@Ganchodedireita:,1,0.12406947890818859
@SrtGabe:,1,0.12406947890818859
@diana_west_:,1,0.12406947890818859
@LittleEToO:,1,0.12406947890818859
@BorrachinhaMMA:,1,0.12406947890818859
@MottaMaio:,1,0.12406947890818859
@mariosabinof:,1,0.12406947890818859
@tedcruz:,1,0.12406947890818859
@Trump454545:,1,0.12406947890818859
@terca_livre:,1,0.12406947890818859
@RoseBarros__:,1,0.12406947890818859
@SargentoFAHUR:,1,0.12406947890818859
@josefucs:,1,0.12406947890818859
@carlossampaio_:,1,0.12406947890818859
@RevistaCrusoe:,1,0.12406947890818859
@saritacoelho:,1,0.12406947890818859
@CancilleriaPeru:,1,0.12406947890818859
@RissoSimone:,1,0.12406947890818859
@Akarolmartins:,1,0.12406947890818859
@eduardoriverosq:,1,0.12406947890818859
@pejoseduardo:,1,0.12406947890818859
@FatosEsquerda:,1,0.12406947890818859
@firstcitizensam:,1,0.12406947890818859
@JoseMedeirosMT:,1,0.12406947890818859
@rafaelvalerac:,1,0.12406947890818859
@SalgueiroMG:,1,0.12406947890818859
@DaisydeMorais1:,1,0.12406947890818859
@Geo_was:,1,0.12406947890818859
@RonaldoFraga12:,1,0.12406947890818859
@brina_gugli:,1,0.12406947890818859
@Adriana88641550:,1,0.12406947890818859
@MassaFelipe19:,1,0.12406947890818859
@PrisonPlanet:,1,0.12406947890818859
@babipaul:,1,0.12406947890818859
@YairNetanyahu:,1,0.12406947890818859
@jopirax:,1,0.12406947890818859
@Bolsonaronewss:,1,0.12406947890818859
@flaviogordon:,1,0.12406947890818859
@StalinBurrinho:,1,0.12406947890818859
@FransWines:,1,0.12406947890818859
@JornalOGlobo:,1,0.12406947890818859
@MiguelCetinaC:,1,0.12406947890818859
@arutz20:,1,0.12406947890818859
@Rivotripa:,1,0.12406947890818859
@rbarret83806609:,1,0.12406947890818859
@AlvaroUribeVel:,1,0.12406947890818859
@Marceloalvaroan:,1,0.12406947890818859
@OsmarTerra:,1,0.12406947890818859
@lourdesflintz:,1,0.12406947890818859
@clarkedesouza:,1,0.12406947890818859
@kmamfghusya:,1,0.12406947890818859
@GabiFra75543938:,1,0.12406947890818859
@Rodrigo__SP:,1,0.12406947890818859
@rmomberg3:,1,0.12406947890818859
@SecPompeo:,1,0.12406947890818859
@raulnascimentoo:,1,0.12406947890818859
@bernardopkuster:,1,0.12406947890818859
@gregory_barros:,1,0.12406947890818859
@Elisoaresss:,1,0.12406947890818859
@OEA_BR:,1,0.12406947890818859
@Francischini_:,1,0.12406947890818859
@onyxlorenzoni:,1,0.12406947890818859
@professorigor:,1,0.12406947890818859
@ColunaCH:,1,0.12406947890818859
@portalR7:,1,0.12406947890818859
@lpbragancabr:,1,0.12406947890818859
@CarolDeToni3:,1,0.12406947890818859
@WHNSC:,1,0.12406947890818859
@millafreguglia:,1,0.12406947890818859
@USUN:,1,0.12406947890818859
@Miltonneves:,1,0.12406947890818859
@dimacgarcia:,1,0.12406947890818859
@ecotalvora:,1,0.12406947890818859
@pedro_pcosta:,1,0.12406947890818859
@SelmaScheu:,1,0.12406947890818859
@sebastianpinera:,1,0.12406947890818859
@HelmerGalhasse:,1,0.12406947890818859
@Leeitsmee:,1,0.12406947890818859
@EuSouMBC:,1,0.12406947890818859
@ProfAyrton:,1,0.12406947890818859
@Camarotti:,1,0.12406947890818859
@portalfab:,1,0.12406947890818859
